date,us_10y_yield,us_inflation_yoy,usd_cop,usd_pen,usd_mxn,usd_clp,market_factor,risk_regime
2025-08-01,4.353,3.0,4090.92,3.7233,18.713,936.21,-0.0091351527168856,Normal
2025-08-04,4.361,3.0,4081.81,3.7161,18.6971,935.77,-0.0083859069640838,Normal
2025-08-05,4.359,3.0,4104.49,3.7191,18.6613,939.17,-0.0176347149024476,Normal
2025-08-06,4.359,3.0,4116.27,3.7132,18.6902,938.5,0.0016215729271396,Normal
2025-08-07,4.354,3.0,4120.66,3.7108,18.7558,937.18,-0.0010704920974591,Normal
2025-08-08,4.359,3.0,4117.98,3.7154,18.6672,942.03,-0.0045835425027866,Normal
2025-08-11,4.35,3.0,4103.57,3.7161,18.6467,943.06,0.0082972169973113,Normal
2025-08-12,4.348,3.0,4102.81,3.7223,18.5713,945.65,-0.0027267993935177,Normal
2025-08-13,4.354,3.0,4085.69,3.7242,18.507,952.3,0.0145364841132088,Normal
2025-08-14,4.36,3.0,4100.73,3.7266,18.4356,952.36,0.0055575763528229,Normal
2025-08-15,4.363,3.0,4120.71,3.7347,18.4945,953.81,-0.0116169011850399,Normal
2025-08-18,4.359,3.0,4120.25,3.7316,18.5051,952.66,-0.0007270838091885,Normal
2025-08-19,4.36,3.0,4100.73,3.736,18.556,956.2,0.0052558324058487,Normal
2025-08-20,4.359,3.0,4097.75,3.7319,18.6221,956.77,0.0041638068662829,Normal
2025-08-21,4.363,3.0,4107.85,3.7264,18.523,959.49,0.0114625280483096,Normal
2025-08-22,4.364,3.0,4114.94,3.7191,18.5597,953.35,0.003125214235421,Normal
2025-08-25,4.361,3.0,4112.39,3.7229,18.5467,952.15,0.0138000429347794,Normal
2025-08-26,4.367,3.0,4115.49,3.7365,18.4863,957.14,0.0025766936433982,Normal
2025-08-27,4.367,3.0,4109.36,3.7426,18.5868,956.84,-0.0002063831919742,Normal
2025-08-28,4.359,3.0,4099.86,3.7533,18.566,952.61,-0.0020474602833172,Normal
2025-08-29,4.358,3.0,4107.45,3.7473,18.5322,951.98,0.0025667417376033,Normal
2025-09-01,4.366,2.97,4086.03,3.7413,18.5356,949.07,-0.0089352033283791,Normal
2025-09-02,4.371,2.97,4072.14,3.7406,18.5456,950.96,-0.0005831081910317,Normal
2025-09-03,4.367,2.97,4053.03,3.755,18.5241,948.94,0.0108112219712141,Normal
2025-09-04,4.366,2.97,4057.53,3.7667,18.4591,949.69,-0.0076507905470585,Normal
2025-09-05,4.364,2.97,4068.9,3.7667,18.462,951.77,0.0027515678024182,Normal
2025-09-08,4.366,2.97,4075.12,3.7649,18.4471,949.21,0.0143722868753507,Normal
2025-09-09,4.368,2.97,4076.58,3.7675,18.457,952.85,-0.0063126455215219,Normal
2025-09-10,4.363,2.97,4109.6,3.7752,18.4954,951.54,0.0030131040063386,Normal
2025-09-11,4.367,2.97,4113.14,3.7791,18.534,954.39,-0.0018985589824158,Normal
2025-09-12,4.363,2.97,4093.94,3.791,18.5382,953.45,0.0193918544866188,Normal
2025-09-15,4.373,2.97,4090.64,3.7972,18.526,952.29,0.0135145238187465,Normal
2025-09-16,4.374,2.97,4089.66,3.817,18.5668,949.78,-0.0042844561111893,Normal
2025-09-17,4.374,2.97,4099.14,3.8213,18.5427,954.53,0.0047517204323105,Normal
2025-09-18,4.367,2.97,4079.24,3.8083,18.6026,956.84,0.0236988732406145,Normal
2025-09-19,4.376,2.97,4090.6,3.8063,18.5359,952.39,0.0139883649667189,Normal
2025-09-22,4.378,2.97,4111.06,3.8125,18.5801,949.96,0.0026067461410435,Normal
2025-09-23,4.379,2.97,4097.69,3.8225,18.614,952.99,-0.0020768270914891,Normal
2025-09-24,4.38,2.97,4085.78,3.8268,18.5982,957.43,0.0091229638822709,Normal
2025-09-25,4.384,2.97,4055.72,3.8154,18.5096,954.77,-0.0104176880034151,Normal
2025-09-26,4.373,2.97,4068.11,3.8137,18.4803,953.02,-0.013346915316603,Normal
2025-09-29,4.38,2.97,4102.92,3.8079,18.4689,954.29,-0.0084504491559819,Normal
2025-09-30,4.391,2.97,4105.45,3.8086,18.4518,957.44,-0.0020343439039528,Normal
2025-10-01,4.394,2.96,4099.41,3.8112,18.4677,954.9,0.0108120814521068,Normal
2025-10-02,4.381,2.96,4073.44,3.8163,18.4483,951.35,0.0068077444199515,Normal
2025-10-03,4.386,2.96,4070.83,3.8074,18.3865,953.47,0.00633751801594,Normal
2025-10-06,4.389,2.96,4090.49,3.8014,18.4323,953.03,-0.0068607564764767,Normal
2025-10-07,4.395,2.96,4088.93,3.8025,18.4786,953.84,0.009695150593959,Normal
2025-10-08,4.401,2.96,4084.92,3.8095,18.4509,957.27,-0.0123573306152964,Normal
2025-10-09,4.402,2.96,4080.87,3.8065,18.4483,951.68,0.009534087613958,Normal
2025-10-10,4.394,2.96,4059.94,3.809,18.3965,952.26,-0.008759484589872,Normal
2025-10-13,4.39,2.96,4019.85,3.7945,18.3963,954.15,0.0107554775228144,Normal
2025-10-14,4.386,2.96,4029.91,3.7917,18.4105,951.52,0.0167239042202081,Normal
2025-10-15,4.376,2.96,4030.38,3.7869,18.4116,949.43,0.0004306663630625,Normal
2025-10-16,4.375,2.96,4012.59,3.7843,18.3732,950.46,0.000603899606775,Normal
2025-10-17,4.372,2.96,4004.54,3.7776,18.2793,952.49,0.0122936287300675,Normal
2025-10-20,4.375,2.96,4014.69,3.7799,18.3033,955.03,-0.0120899264694147,Normal
2025-10-21,4.378,2.96,4033.73,3.7688,18.2706,950.48,-0.0016641080713728,Normal
2025-10-22,4.378,2.96,4034.1,3.7743,18.2393,950.53,-0.0044869063417671,Normal
2025-10-23,4.376,2.96,4032.91,3.7757,18.2436,954.1,0.0199729997451661,Normal
2025-10-24,4.366,2.96,4002.6,3.781,18.3034,950.23,0.0104670264615159,Normal
2025-10-27,4.363,2.96,3969.15,3.7794,18.3824,947.24,-0.0073505779471632,Normal
2025-10-28,4.359,2.96,3960.85,3.7832,18.3611,941.43,-0.0040623292680745,Normal
2025-10-29,4.357,2.96,3956.03,3.7886,18.3083,943.94,0.0010119878915818,Normal
2025-10-30,4.361,2.96,3977.51,3.7698,18.3348,941.2,0.0065488904226537,Normal
2025-10-31,4.355,2.96,3970.72,3.769,18.3023,941.38,-0.0145795076398947,Normal
2025-11-03,4.35,2.97,3976.23,3.7665,18.2531,939.48,0.0034853209410313,Normal
2025-11-04,4.354,2.97,3958.76,3.7518,18.2314,938.03,0.0033708136238456,Normal
2025-11-05,4.357,2.97,3965.74,3.7416,18.2137,931.09,-0.0072814427169042,Normal
2025-11-06,4.356,2.97,3955.05,3.744,18.1847,926.82,-0.0048219996020987,Normal
2025-11-07,4.355,2.97,3949.32,3.749,18.1579,927.68,0.0078528743171893,Normal
2025-11-10,4.355,2.97,3943.91,3.7549,18.1884,927.73,8.042423002160333e-05,Normal
2025-11-11,4.35,2.97,3952.28,3.7455,18.206,926.91,-0.0007328275062863,Normal
2025-11-12,4.345,2.97,3947.19,3.7474,18.2601,927.25,0.0005410255787902,Normal
2025-11-13,4.343,2.97,3955.14,3.7491,18.2545,926.0,0.0016231549771436,Normal
2025-11-14,4.343,2.97,3974.92,3.7452,18.2179,928.1,-0.0043655728542686,Normal
2025-11-17,4.34,2.97,3978.67,3.7467,18.2105,930.73,0.0120130366688991,Normal
2025-11-18,4.334,2.97,3978.26,3.7331,18.2952,928.21,-0.0133576170273894,Normal
2025-11-19,4.334,2.97,3987.99,3.7387,18.2644,928.58,0.0022033360229373,Normal
2025-11-20,4.322,2.97,4010.77,3.7435,18.2258,926.39,0.0182459027514215,Normal
2025-11-21,4.322,2.97,4009.66,3.7454,18.2301,922.16,-0.000109957115152,Normal
2025-11-24,4.313,2.97,4013.51,3.7572,18.1896,927.92,0.000955019505729,Normal
2025-11-25,4.3,2.97,4012.83,3.758,18.1415,928.48,-0.0085606738452173,Normal
2025-11-26,4.303,2.97,4005.79,3.76,18.1157,930.78,-0.011912374870332,Normal
2025-11-27,4.31,2.97,4009.35,3.7631,18.1615,932.34,-0.0074668138921805,Normal
2025-11-28,4.31,2.97,3978.29,3.7759,18.1277,932.96,0.0017723705841075,Normal
2025-12-01,4.302,2.97,4003.02,3.7673,18.112,932.27,0.0141834740750306,Normal
2025-12-02,4.3,2.97,4005.31,3.7638,18.1541,935.36,-0.0152414311178781,Normal
2025-12-03,4.3,2.97,4000.06,3.7614,18.1277,931.73,-0.0132951178066836,Normal
2025-12-04,4.297,2.97,3999.78,3.7529,18.1489,933.36,0.0011673486426407,Normal
2025-12-05,4.294,2.97,4019.58,3.7424,18.102,935.9,-0.0185933828490786,Normal
2025-12-08,4.3,2.97,4021.88,3.743,18.0985,935.43,-0.0032561195611318,Normal
2025-12-09,4.299,2.97,4020.98,3.745,18.1583,934.14,-0.0080917631078268,Normal
2025-12-10,4.299,2.97,4028.55,3.7428,18.2347,934.61,-0.0072017438060015,Normal
2025-12-11,4.298,2.97,4025.35,3.7374,18.2199,934.45,-0.0032870634016089,Normal
2025-12-12,4.291,2.97,4027.92,3.7426,18.298,937.66,0.002427410178029,Normal
2025-12-15,4.285,2.97,4017.61,3.743,18.2607,935.8,0.003407642009171,Normal
2025-12-16,4.281,2.97,4001.23,3.7446,18.33,939.7,0.002044713565539,Normal
2025-12-17,4.282,2.97,4006.04,3.7457,18.3695,942.19,0.0086125230366827,Normal
2025-12-18,4.295,2.97,4006.62,3.7419,18.443,943.22,0.0122296818473931,Normal
2025-12-19,4.296,2.97,4025.91,3.7413,18.4858,940.88,-0.0062600003140395,Normal
2025-12-22,4.31,2.97,4044.16,3.7394,18.4426,941.69,0.0033808875617973,Normal
2025-12-23,4.301,2.97,4009.26,3.7368,18.4346,945.35,0.00026695778853,Normal
2025-12-24,4.294,2.97,4013.77,3.7388,18.3817,948.59,-0.0080163922266796,Normal
2025-12-25,4.294,2.97,4015.64,3.7389,18.3957,945.52,0.011334220628113,Normal
2025-12-26,4.294,2.97,4019.64,3.7217,18.3445,946.31,-0.0026408691076721,Normal
2025-12-29,4.298,2.97,4000.55,3.7214,18.399,950.78,0.0008327380543537,Normal
2025-12-30,4.295,2.97,3988.91,3.7155,18.4007,953.96,-0.0118907900644857,Normal
2025-12-31,4.299,2.97,3981.69,3.7076,18.4365,950.6,0.0022943084345512,Normal
2026-01-01,4.295,2.94,3993.23,3.7108,18.3923,951.21,-0.0195172843604269,Normal
2026-01-02,4.293,2.94,3971.4,3.7143,18.3771,951.6,0.0087382017881294,Normal
2026-01-05,4.282,2.94,3984.53,3.7204,18.4108,947.96,-0.0060273913709076,Normal
2026-01-06,4.276,2.94,4007.35,3.7077,18.4083,950.16,0.0003341457362245,Normal
2026-01-07,4.261,2.94,4014.08,3.7041,18.4312,949.78,-0.0006233253583095,Normal
2026-01-08,4.257,2.94,4020.53,3.6973,18.4647,953.33,0.0077470094962715,Normal
2026-01-09,4.26,2.94,4058.3,3.7057,18.5028,953.87,0.0052030369075152,Normal
2026-01-12,4.258,2.94,4066.28,3.7083,18.6045,951.94,-0.0033178032456828,Normal
2026-01-13,4.249,2.94,4066.89,3.7027,18.6006,955.89,0.0033843662414714,Normal
2026-01-14,4.254,2.94,4052.52,3.7046,18.5733,956.23,-0.0067005439189807,Normal
2026-01-15,4.248,2.94,4072.66,3.7016,18.6518,953.51,-0.0019763587135469,Normal
2026-01-16,4.25,2.94,4067.36,3.6949,18.6395,953.01,-0.0061849017779141,Normal
2026-01-19,4.251,2.94,4075.52,3.6974,18.6472,950.44,0.0126933514003282,Normal
