issuer_id,period_end,revenue_usd_m,ebitda_usd_m,net_income_usd_m,debt_usd_m,cash_usd_m
ISS_01,2024-09-30,1913.2,594.1,250.4,1621.5,759.1
ISS_01,2024-12-31,1905.2,637.7,350.5,1602.1,769.7
ISS_01,2025-03-31,1946.5,604.2,260.7,1595.0,796.2
ISS_01,2025-06-30,2087.8,642.7,440.9,1575.1,789.5
ISS_01,2025-09-30,2093.9,645.0,409.0,1553.1,791.1
ISS_01,2025-12-31,2136.1,705.2,411.2,1545.4,808.4
ISS_01,2026-03-31,2099.5,669.1,323.5,1552.3,801.4
ISS_01,2026-06-30,2229.3,741.6,500.9,1543.9,784.8
ISS_02,2024-09-30,2778.1,784.7,407.9,1710.9,945.4
ISS_02,2024-12-31,2830.8,755.8,350.1,1691.8,928.0
ISS_02,2025-03-31,2973.8,850.3,540.9,1690.2,924.2
ISS_02,2025-09-30,2915.4,857.4,406.2,1690.2,915.2
ISS_02,2025-12-31,3126.4,882.5,500.8,1701.1,895.8
ISS_02,2026-03-31,3119.3,861.1,542.3,1684.7,879.8
ISS_02,2026-06-30,3221.6,876.2,444.3,1712.8,906.3
ISS_03,2024-09-30,2969.6,377.0,252.6,434.8,462.7
ISS_03,2024-12-31,3061.6,384.4,224.6,435.8,464.2
ISS_03,2025-03-31,3074.0,409.1,267.6,440.1,461.5
ISS_03,2025-06-30,3245.2,446.7,257.0,448.2,469.2
ISS_03,2025-09-30,3168.0,355.0,154.9,451.6,462.2
ISS_03,2025-12-31,3463.8,424.4,184.8,456.1,452.8
ISS_03,2026-03-31,3441.1,376.7,208.7,462.3,448.1
ISS_03,2026-06-30,3397.8,406.0,250.7,469.9,450.7
ISS_04,2024-09-30,4015.0,1354.4,876.7,2351.4,792.6
ISS_04,2024-12-31,4049.5,1232.5,622.9,2359.0,800.8
ISS_04,2025-03-31,4389.1,1423.9,914.7,2379.9,790.5
ISS_04,2025-06-30,4241.1,1374.8,954.8,2412.5,782.4
ISS_04,2025-09-30,4388.1,1406.3,808.9,2452.1,811.0
ISS_04,2025-12-31,4451.4,1417.1,790.9,2494.0,819.6
ISS_04,2026-03-31,4487.2,1393.5,617.9,2527.7,817.9
ISS_04,2026-06-30,4665.5,1419.2,938.9,2495.0,834.1
ISS_05,2024-09-30,1961.1,559.8,390.4,1877.2,1037.9
ISS_05,2024-12-31,1982.4,533.1,360.6,1854.3,1073.3
ISS_05,2025-03-31,1944.1,527.1,224.3,1854.4,1086.5
ISS_05,2025-06-30,1970.8,524.1,292.2,1887.1,1092.4
ISS_05,2025-09-30,2126.5,569.8,335.5,1908.9,1116.9
ISS_05,2025-12-31,2133.7,551.1,282.5,1885.9,1153.5
ISS_05,2026-03-31,2114.7,569.6,268.5,1919.1,1177.7
ISS_05,2026-06-30,2149.5,609.7,437.7,1919.7,1212.7
ISS_06,2024-09-30,2742.3,413.9,183.1,1809.1,630.9
ISS_06,2024-12-31,2747.0,380.8,273.6,1795.3,615.1
ISS_06,2025-03-31,2841.6,477.7,334.8,1795.5,597.6
ISS_06,2025-06-30,1845.7,437.4,276.0,1812.6,618.5
ISS_06,2025-09-30,2861.2,439.6,277.6,1845.3,630.2
ISS_06,2025-12-31,3001.8,501.5,215.3,1855.5,625.2
ISS_06,2026-03-31,3030.6,395.4,219.7,1876.5,649.4
ISS_06,2026-06-30,3106.5,497.5,241.5,1893.8,652.9
ISS_07,2024-09-30,5081.9,1036.6,635.6,924.5,318.2
ISS_07,2024-12-31,5179.0,1018.6,532.3,919.7,325.7
ISS_07,2025-03-31,5074.1,993.1,603.1,906.6,321.0
ISS_07,2025-06-30,5022.6,1104.3,692.6,903.9,328.0
ISS_07,2025-09-30,5111.6,1033.9,611.5,920.8,328.0
ISS_07,2025-12-31,5147.3,1013.5,539.2,911.7,343.2
ISS_07,2026-03-31,5436.6,1149.7,757.4,914.5,350.4
ISS_07,2026-06-30,5460.9,1154.6,733.1,901.7,363.1
ISS_08,2024-09-30,1940.4,230.4,111.0,795.2,924.4
ISS_08,2024-12-31,1885.3,193.2,110.4,809.4,959.0
ISS_08,2025-03-31,2051.6,208.4,143.8,813.5,994.7
ISS_08,2025-06-30,2013.1,208.6,89.6,810.0,1031.1
ISS_08,2025-09-30,2136.0,290.8,185.7,804.3,1032.9
ISS_08,2025-12-31,2103.7,274.9,180.1,811.5,1017.3
ISS_08,2026-03-31,2107.7,270.0,138.6,809.2,1056.0
ISS_08,2026-06-30,2086.8,257.7,160.7,818.9,1080.0
